,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,latitude,longitude,postal_code,city_name,smileys,cvr_number,checked_findsmiley
1184,Senza Nome,"Istedgade 25, København","(12.5586399, 55.6707214)",3.5,161,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ_QNaXHNTUkYRv9dUXWnfDYI,OPERATIONAL,"Istedgade 25, 1650 København, Denmark",33 24 23 73,2.0,,"('1600', '2300'); ('1600', '2300'); ('1600', '2300'); ('1600', '2300'); ('1600', '2300'); ('1600', '2300'); ('1600', '2300')",55.6707214,12.5586399,1500-1799,København V,"[1, 4, 4, 2]",39476363,1
1185,Jah Izakaya & Sake Bar,"Gasværksvej 21, København V","(12.5575108, 55.6707762)",4.5,444,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ04hkonRTUkYR5rC_mSKFCp8,OPERATIONAL,"Gasværksvej 21, 1656 København V, Denmark",38 41 27 21,2.0,http://www.jahizakaya.dk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=jahizakaya,"('1730', '0000'); ('1730', '0000'); ('1730', '0000'); ('1730', '0000'); ('1730', '0000'); ('1730', '0100'); ('1730', '0100')",55.6707762,12.5575108,1500-1799,København V,,0,1
1186,Neighbourhood,"Istedgade 27, København V","(12.5584556, 55.6706583)",4.2,825,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJMzmIYHNTUkYRaZfVjRzqMfg,OPERATIONAL,"Istedgade 27, 1650 København V, Denmark",32 12 22 12,2.0,http://www.neighbourhood.dk/,,55.6706583,12.5584556,1500-1799,København V,,0,1
1187,Zeppelin,"Vesterbrogade 45, København V","(12.5560005, 55.6722627)",4.2,347,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJBZ8xzXRTUkYR3wL91Oan448,OPERATIONAL,"Vesterbrogade 45, 1620 København, Denmark",71 70 36 66,1.0,http://zeppelincph.dk/,,55.6722627,12.5560005,1500-1799,København V,"[1, 1]",35659641,1
1188,Restaurant Grillen Burgerbar,"Vesterbrogade 41, København","(12.5565985, 55.6723823)",4.3,760,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJYVX3NAtTUkYR5MgvWs6015Q,OPERATIONAL,"Vesterbrogade 41, 1620 København, Denmark",35 35 35 69,1.0,https://grillenburgerbar.dk/restaurant/burger-vesterbro/,"('1130', '2100'); ('1630', '2100'); ('1630', '2100'); ('1630', '2100'); ('1630', '2100'); ('1130', '2100'); ('1130', '2100')",55.6723823,12.5565985,1500-1799,København V,,0,1
1189,The South Indian Vesterbro,"Vesterbrogade 38, København V","(12.5560571, 55.6725392)",4.1,653,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJGXNrMgtTUkYRpe4bj29DsFI,OPERATIONAL,"Vesterbrogade 38, 1620 København, Denmark",81 91 91 81,2.0,https://southindian.dk/,,55.6725392,12.5560571,1500-1799,København V,,0,1
1190,Comfort Hotel Vesterbro,"Vesterbrogade 23/29, København","(12.5593586, 55.67290939999999)",3.9,2235,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ9XKqWQtTUkYRgG3s1F5didw,OPERATIONAL,"Vesterbrogade 23/29, 1620 København, Denmark",33 78 80 00,,https://www.nordicchoicehotels.dk/hoteller/danmark/kobenhavn/comfort-hotel-vesterbro/?utm_campaign=regular-pictures&utm_medium=organic&utm_source=googlemybusiness,,55.67290939999999,12.5593586,1500-1799,København V,,0,1
1191,Ristorante Retro Gusto I/S,"Vesterbrogade 31, København V","(12.5583873, 55.6727504)",4.5,245,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJt8GbWgtTUkYRPOGZh8v4Os4,OPERATIONAL,"Vesterbrogade 31, 1620 København, Denmark",33 21 55 55,2.0,http://www.retrogusto.dk/,,55.6727504,12.5583873,1500-1799,København V,,0,1
1192,Floras Café & Steakhouse,"Vesterbrogade 16, København","(12.5598556, 55.6733389)",4.0,940,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJL3FhnwxTUkYRQ92-i54Uvmw,OPERATIONAL,"Vesterbrogade 16, 1620 København, Denmark",33 23 09 02,2.0,http://www.floras.dk/,"('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300')",55.6733389,12.5598556,1500-1799,København V,,0,1
1193,Nibon Ya Sushi,"Vesterbrogade 15, København","(12.560166, 55.673122)",3.7,440,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJc_j9ogxTUkYRS2aBe-BfpJg,OPERATIONAL,"Vesterbrogade 15, 1620 København, Denmark",33 31 17 02,2.0,https://nibonya-sushi.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",55.673122,12.560166,1500-1799,København V,['Elite'],31432081,1
