,Unnamed: 0,Unnamed: 0.1,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,smileys,cvr_number,checked_findsmiley,city_name
0,0,ChIJj6fF7HtWUkYRU7vKWrLPJqQ,Restaurant Albatrossen,"Brøndby Havnevej 20, Hvidovre","(55.6097222, 12.4430556)",4.0,426.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJj6fF7HtWUkYRU7vKWrLPJqQ,OPERATIONAL,"Brøndby Havnevej 20, 2650 Hvidovre, Denmark",41 10 37 40,2.0,https://www.albatrossen.dk/,"('1130', '1630'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100')","[1, 1, 1, 1]",29334544,1,Hvidovre
1,1,ChIJu3EP8tRXUkYRic6gYoR43Ds,Havkatten,"Brøndby Havnevej 24, Hvidovre","(55.6099069, 12.4429091)",4.0,79.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJu3EP8tRXUkYRic6gYoR43Ds,OPERATIONAL,"Brøndby Havnevej 24, 2650 Hvidovre, Denmark",20 20 22 87,,http://havkatten.dk/,"('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600')","[1, 1, 2, 1]",38843397,1,Hvidovre
2,2,ChIJiT4i0w5XUkYRCmvyVS5JE9w,Havnen,"Brøndby Havnevej 13, Hvidovre","(55.6094051, 12.4440286)",3.0,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJiT4i0w5XUkYRCmvyVS5JE9w,OPERATIONAL,"Brøndby Havnevej 13, 2650 Hvidovre, Denmark",,,,"('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300')",,,1,Hvidovre
3,3,ChIJdapK5clWUkYRmKLS85w1D0s,Restaurant Engtoftegård,"Vestre Gade 32, Brøndby","(55.655276, 12.440763)",4.3,561.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdapK5clWUkYRmKLS85w1D0s,OPERATIONAL,"Vestre Gade 32, 2605 Brøndby, Denmark",61 63 24 94,2.0,http://engtoftegard.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",['Elite'],39413426,1,Brøndby
4,4,ChIJd3SvSuNXUkYRExpg8o72LUQ,Thorleif og Stine,"Vestre Gade 23, Brøndby","(55.6565728, 12.4400495)",5.0,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJd3SvSuNXUkYRExpg8o72LUQ,OPERATIONAL,"Vestre Gade 23, 2605 Brøndby, Denmark",,,,,,,1,Brøndby
5,5,ChIJnzBp7zRRUkYRxcJ1K0LxKQc,Cafe Sixpence,"Brøndbyøster, Brøndbyøster Torv 37, Brøndby","(55.66353950000001, 12.4402804)",4.2,209.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJnzBp7zRRUkYRxcJ1K0LxKQc,OPERATIONAL,"Brøndbyøster, Brøndbyøster Torv 37, 2605 Brøndby, Denmark",36 83 66 82,2.0,http://sixpence-restaurant.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Brøndby
6,6,ChIJeQEKjzRRUkYRR8riW9eVcDs,Torvets Cafe & Pizzaria,"Brøndbyøster Torv 18, Brøndby","(55.66412700000001, 12.438693)",4.0,97.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJeQEKjzRRUkYRR8riW9eVcDs,OPERATIONAL,"Brøndbyøster Torv 18, 2605 Brøndby, Denmark",36 48 02 21,,https://torvets-cafe.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Brøndby
7,7,ChIJw0jc8TRRUkYRrv6MklmF90k,Kai Sushi,"Brøndbyøster Torv 29, Brøndby","(55.66356570000001, 12.4403082)",4.4,134.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw0jc8TRRUkYRrv6MklmF90k,OPERATIONAL,"Brøndbyøster Torv 29, 2605 Brøndby, Denmark",35 11 68 88,2.0,http://www.kaisushi.dk/,"('1500', '2200'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2200'); ('1200', '2200')",,,1,Brøndby
8,8,ChIJqaoK8DRRUkYR74FcYuCrFIo,Rm,"Brøndbyøster Torv 21, Brøndby","(55.66385200000001, 12.440498)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJqaoK8DRRUkYR74FcYuCrFIo,CLOSED_TEMPORARILY,"Brøndbyøster Torv 21, 2605 Brøndby, Denmark",,,,,,,1,Brøndby
9,9,ChIJ55nnSTRRUkYRmhqoshskaq4,La Serra,"Nygårds Plads 2M, Brøndby","(55.66560869999999, 12.4417198)",3.5,89.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ55nnSTRRUkYRmhqoshskaq4,OPERATIONAL,"Nygårds Pl. 2M, 2605 Brøndby, Denmark",36 48 00 59,2.0,https://www.la-serra.com/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",,,1,Brøndby
10,10,ChIJO3kcjDNRUkYRsjy6NNavUw0,Restaurant og Café Nielsen,"Nygårds Plads 3A, Brøndby","(55.6659584, 12.4377021)",3.9,190.0,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJO3kcjDNRUkYRsjy6NNavUw0,OPERATIONAL,"Nygårds Pl. 3A, 2605 Brøndby, Denmark",88 77 20 70,2.0,http://www.restaurantogcafenielsen.dk/,,,,1,Brøndby
11,11,ChIJoyVNQjRRUkYRBFkRmwybNxc,Brøndby Kebab Grill,"Nygårds Plads 2, Brøndby","(55.66559119999999, 12.4410881)",4.2,38.0,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJoyVNQjRRUkYRBFkRmwybNxc,OPERATIONAL,"Nygårds Pl. 2, 2605 Brøndby, Denmark",36 47 49 35,,https://www.hungry.dk/broendby/broendby-kebab-grill/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000')",,,1,Brøndby
12,12,ChIJZzbLq2xRUkYRgomONEYr1AY,Quickstop Stations kebab,"Dsb Stations perron, Gillesager 1, Brøndby","(55.66507019999999, 12.4407123)",5.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJZzbLq2xRUkYRgomONEYr1AY,OPERATIONAL,"Dsb Stations perron, Gillesager 1, 2605 Brøndby, Denmark",91 72 39 39,,http://quickstoptogo.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",,,1,Brøndby
13,13,ChIJw3N3YjRRUkYRHvmfCic5_ys,Quickstop To Go,"perron Quick Stop to go (Dsb, Gillesager 1 På Brøndby Øster stations, Brøndby","(55.6650521, 12.4409591)",4.5,41.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw3N3YjRRUkYRHvmfCic5_ys,OPERATIONAL,"Gillesager 1 På Brøndby Øster stations, perron Quick Stop to go (Dsb, 2605 Brøndby, Denmark",91 72 39 39,,https://quickstop.meal4u.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",,,1,Brøndby
14,14,ChIJCdTSmzNRUkYRRJ5Yiwnder0,Asian Food,"Turpinsvej 1, Brøndby","(55.665401, 12.436562)",5.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJCdTSmzNRUkYRRJ5Yiwnder0,OPERATIONAL,"Turpinsvej 1, 2605 Brøndby, Denmark",41 41 57 86,,,,,,1,Brøndby
15,15,ChIJYWQGlTNRUkYRdia53hIhIok,Bella Mamma Pizza - Brøndby,"Turpinssvinget 7, Brøndby","(55.6657905, 12.4356861)",3.6,59.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJYWQGlTNRUkYRdia53hIhIok,OPERATIONAL,"Turpinssvinget 7, 2605 Brøndby, Denmark",36 75 77 87,2.0,https://bellamammapizza.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1200', '2200')","[1, 1, 2, 1]",38907115,1,Brøndby
16,16,ChIJDRvoEjFRUkYRuqkue7JPoi0,McDonald's,"Brøndbyøstervej 1, Brøndby","(55.668698, 12.43699)",3.4,1190.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJDRvoEjFRUkYRuqkue7JPoi0,OPERATIONAL,"Brøndbyøstervej 1, 2605 Brøndby, Denmark",27 80 09 12,2.0,https://www.mcdonalds.com/dk/da-dk.html/?utm_source=google_location&utm_medium=organic&utm_campaign=85,"('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100')",['Elite'],25651960,1,Brøndby
17,17,ChIJVVUlvzBRUkYRNDS1wESaS_Y,THE TRANSPORTERS,"H. J. Holst Vej 14, Rødovre","(55.6715779, 12.4399529)",,,"['point_of_interest', 'restaurant', 'food', 'establishment']",ChIJVVUlvzBRUkYRNDS1wESaS_Y,OPERATIONAL,"H. J. Holst Vej 14, 2610 Rødovre, Denmark",50 36 77 69,,,,,,1,Rødovre
18,18,ChIJxdOhSzdRUkYRxl5PYQtT248,Royal Naan,"H. J. Holst Vej 6, Rødovre","(55.67169500000001, 12.441346)",5.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJxdOhSzdRUkYRxl5PYQtT248,OPERATIONAL,"H. J. Holst Vej 6, 2610 Rødovre, Denmark",,,,,,,1,Rødovre
19,19,ChIJ24vPT2JRUkYRQaSm4NcEip4,Charizma,"H. J. Holst Vej 6, Rødovre","(55.6719314, 12.4412576)",,,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ24vPT2JRUkYRQaSm4NcEip4,OPERATIONAL,"H. J. Holst Vej 6, 2610 Rødovre, Denmark",50 20 00 45,,,,,,1,Rødovre
20,20,ChIJ9xoBHEdRUkYRFRNBdMb1fk0,Krua Thai Catering,"2. TV, Fjeldhammervej 17 b, Rødovre","(55.6748304, 12.4393699)",3.9,7.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ9xoBHEdRUkYRFRNBdMb1fk0,OPERATIONAL,"2. TV, Fjeldhammervej 17 b, 2610 Rødovre, Denmark",25 94 82 28,,https://kruathaicatering.dk/,"('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000')",,,1,Rødovre
21,21,ChIJZ4WA0FdRUkYRX4saOTKGy50,Kategoria Catering ApS,"Fjeldhammervej 15, Rødovre","(55.6744384, 12.4403976)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJZ4WA0FdRUkYRX4saOTKGy50,OPERATIONAL,"Fjeldhammervej 15, 2610 Rødovre, Denmark",61 40 42 42,,http://tapasamor.dk/,,['Elite'],39889609,1,Rødovre
22,22,ChIJMSS3PzdRUkYRMflPuJwP5qQ,MinKantine.dk,"Prøvensvej, Brøndby","(55.67281509999999, 12.442574)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJMSS3PzdRUkYRMflPuJwP5qQ,CLOSED_TEMPORARILY,"Prøvensvej, 2605 Brøndby, Denmark",21 59 03 60,,https://brondby.minkantine.dk/kontakt/,,,,1,Brøndby
23,23,ChIJ1TfEKzpRUkYRprpBg_GFdD0,Restaurant Lazio,"Fjeldhammervej 6, Rødovre","(55.675262, 12.442408)",1.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ1TfEKzpRUkYRprpBg_GFdD0,OPERATIONAL,"Fjeldhammervej 6, 2610 Rødovre, Denmark",38 87 35 93,,http://www.restaurant-lazio.dk/,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",,,1,Rødovre
24,24,ChIJz9YtkjlRUkYRfq50ay8nmGU,PS Fast Food Aps,"Nyholms Alle 27, Rødovre","(55.674339, 12.443599)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJz9YtkjlRUkYRfq50ay8nmGU,OPERATIONAL,"Nyholms Alle 27, 2610 Rødovre, Denmark",39 29 01 02,,,,,,1,Rødovre
25,25,ChIJ3Rw3sjxRUkYRuwlajfX4lvM,Restaurant Espehus,"Korsdalsvej 77, Rødovre","(55.6797447, 12.4371727)",3.4,238.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ3Rw3sjxRUkYRuwlajfX4lvM,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",36 41 07 58,2.0,http://www.espehus.dk/,"('1200', '2100'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '2100'); ('1200', '2100')",,,1,Rødovre
26,26,ChIJfd2JLH9RUkYRt1JrOmv35PI,Espehus Kro,"Korsdalsvej 77, Rødovre","(55.6797591, 12.4370801)",4.7,20.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJfd2JLH9RUkYRt1JrOmv35PI,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",40 55 55 70,,https://espehus.dk/,,,,1,Rødovre
27,27,ChIJnWTPUQBRUkYRfXVowA5KYBc,Ungdomsbyens Kantine v/God Mad & Vin,"Islevgård Alle 5, Rødovre","(55.7050083, 12.4348937)",,,"['point_of_interest', 'restaurant', 'food', 'establishment']",ChIJnWTPUQBRUkYRfXVowA5KYBc,OPERATIONAL,"Islevgård Alle 5, 2610 Rødovre, Denmark",40 55 76 49,,,,,,1,Rødovre
28,28,ChIJ311mJlNQUkYRRuaFvMRctKA,Umoe Restaurants King Food A/S,"Lyskær 3, Herlev","(55.715265, 12.4364416)",,,"['point_of_interest', 'restaurant', 'food', 'establishment']",ChIJ311mJlNQUkYRRuaFvMRctKA,OPERATIONAL,"Lyskær 3, 2730 Herlev, Denmark",,,,,,,1,Herlev
29,29,ChIJl11UMa1RUkYRnacSMrLddVk,McDonald's,"Mileparken 39, Herlev","(55.71669540000001, 12.4377931)",3.5,1568.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJl11UMa1RUkYRnacSMrLddVk,OPERATIONAL,"Mileparken 39, 2730 Herlev, Denmark",88 80 80 71,2.0,https://www.mcdonalds.com/dk/da-dk.html/?utm_source=google_location&utm_medium=organic&utm_campaign=14,"('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0200'); ('0700', '0200')",['Elite'],41683554,1,Herlev
30,30,ChIJVVWFNq1RUkYRB5Nw0X55A7w,McDonald's Herlev,"Mileparken 39, Herlev","(55.7167144, 12.4377852)",5.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJVVWFNq1RUkYRB5Nw0X55A7w,OPERATIONAL,"Mileparken 39, 2730 Herlev, Denmark",,,,,['Elite'],41683554,1,Herlev
31,31,ChIJbSrT0VJQUkYRnbm7q7mqn_8,Mr. Panini ApS,"Lyskær 3, Herlev","(55.71632630000001, 12.4363874)",,,"['point_of_interest', 'restaurant', 'food', 'establishment']",ChIJbSrT0VJQUkYRnbm7q7mqn_8,OPERATIONAL,"Lyskær 3, 2730 Herlev, Denmark",,,,,,,1,Herlev
32,32,ChIJdVohS9xRUkYRhc--ipN7NYA,Vej,"Hørkær 12A, Herlev","(55.7185287, 12.4372536)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdVohS9xRUkYRhc--ipN7NYA,OPERATIONAL,"Hørkær 12A, 2730 Herlev, Denmark",,,,,,,1,Herlev
33,33,ChIJQ6Uw9bJRUkYRXrQjS-kCpGs,Herlev Grill og Kebab,"Stationsalleen 17, Herlev","(55.7193139, 12.4425478)",4.3,82.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJQ6Uw9bJRUkYRXrQjS-kCpGs,OPERATIONAL,"Stationsalleen 17, 2730 Herlev, Denmark",44 92 68 44,,https://www.hungry.dk/herlev/stations-kebab/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1200', '2100')",,,1,Herlev
34,34,ChIJ__liuUxQUkYRBCCvX20YsHw,Farfars Grill & Pizza House,"Herlev Hovedgade 129, Herlev","(55.7225611, 12.4388617)",4.0,323.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ__liuUxQUkYRBCCvX20YsHw,OPERATIONAL,"Herlev Hovedgade 129, 2730 Herlev, Denmark",44 92 04 66,1.0,http://farfarspizza.dk/,"('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100')",,,1,Herlev
35,35,ChIJTbJtqlxRUkYRpPIXLpSpUjA,Sol,"Herlev Hovedgade 125, Herlev","(55.72237140000001, 12.4394436)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJTbJtqlxRUkYRpPIXLpSpUjA,OPERATIONAL,"Herlev Hovedgade 125, 2730 Herlev, Denmark",,,,,,,1,Herlev
36,36,ChIJB3LlXktQUkYRgHD7JEtkinM,Herlev Kro & Hotel,"Herlev Torv 9, Herlev","(55.724083, 12.438713)",4.2,613.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJB3LlXktQUkYRgHD7JEtkinM,OPERATIONAL,"Herlev Torv 9, 2730 Herlev, Denmark",44 94 00 03,2.0,https://www.herlev-kro.dk/,,['Elite'],31361958,1,Herlev
37,37,ChIJmwYVabNRUkYRvKOmLwk_xjU,Sushi LP Herlev,"Herlev Hovedgade 102, Herlev","(55.7227778, 12.4425)",4.3,84.0,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",ChIJmwYVabNRUkYRvKOmLwk_xjU,OPERATIONAL,"Herlev Hovedgade 102, 2730 Herlev, Denmark",44 84 88 68,2.0,https://sushilp.dk/,"('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030')",,,1,Herlev
38,38,ChIJYaZuarNRUkYRzUCUJCnYvJ4,Herlev Kebab og Pizza,"Herlev Hovedgade 113, Herlev","(55.7223866, 12.4419759)",4.5,177.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJYaZuarNRUkYRzUCUJCnYvJ4,OPERATIONAL,"Herlev Hovedgade 113, 2730 Herlev, Denmark",44 91 03 92,2.0,https://herlevkebabogpizza.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Herlev
39,39,ChIJqSSOaLNRUkYRystuM3uQZO8,Fokke Jensen Holding S.m.b.a,"Herlev Hovedgade 102, Herlev","(55.72274299999999, 12.442478)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJqSSOaLNRUkYRystuM3uQZO8,CLOSED_TEMPORARILY,"Herlev Hovedgade 102, 2730 Herlev, Denmark",,,,,,,1,Herlev
40,40,ChIJK55_bLNRUkYRSeBVhSrQcM8,French Chicken,"Herlev Hovedgade 109, Herlev","(55.7222702, 12.4426)",4.0,118.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJK55_bLNRUkYRSeBVhSrQcM8,OPERATIONAL,"Herlev Hovedgade 109, 2730 Herlev, Denmark",44 94 29 89,2.0,https://www.hungry.dk/herlev/french-chicken/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1200', '2100')",[1],31911907,1,Herlev
41,41,ChIJWdhlc7NRUkYRC_glUia6iIU,Sandwich & Bagel Herlev,"Herlev Hovedgade 105, St Tv, Herlev","(55.722115, 12.443378)",4.4,101.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",ChIJWdhlc7NRUkYRC_glUia6iIU,OPERATIONAL,"Herlev Hovedgade 105, St Tv, 2730 Herlev, Denmark",53 54 57 70,1.0,https://sandwichandbagel.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '1900'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1100', '1900')","[1, 1]",41100087,1,Herlev
42,42,ChIJ5_J4s0xQUkYRmGAghPFR8U8,Café Risico,"Herlev Hovedgade 123, Herlev","(55.72275499999999, 12.439803)",4.1,320.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ5_J4s0xQUkYRmGAghPFR8U8,OPERATIONAL,"Herlev Hovedgade 123, 2730 Herlev, Denmark",44 84 05 08,2.0,http://www.caferisico.dk/,,['Elite'],39625059,1,Herlev
43,43,ChIJ-09SarNRUkYRZWk7XasRQfc,Grill & Kebabhouse/Atila Okmen,"Herlev Hovedgade 111, Herlev","(55.722337, 12.4422029)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ-09SarNRUkYRZWk7XasRQfc,OPERATIONAL,"Herlev Hovedgade 111, 2730 Herlev, Denmark",32 51 02 00,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",,,1,Herlev
44,44,ChIJ5XFKtkxQUkYR97UAPJ7ahAY,Farfars mad,"Herlev Hovedgade, Herlev","(55.723204, 12.437101)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ5XFKtkxQUkYR97UAPJ7ahAY,OPERATIONAL,"Herlev Hovedgade, 2730 Herlev, Denmark",44 92 04 66,,https://www.farfarspizza.dk/,,,,1,Herlev
45,45,ChIJt35bqkxQUkYREFc_60OHAoM,Herlev Fisk & Vildt,"Herlev Torv 10, Herlev","(55.7239508, 12.4392133)",4.4,94.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJt35bqkxQUkYREFc_60OHAoM,OPERATIONAL,"Herlev Torv 10, 2730 Herlev, Denmark",44 91 34 34,,http://herlevfisk.dk/,,['Elite'],35410074,1,Herlev
46,46,ChIJ6zn-nWhTUkYRJ51l6LGK80U,The Village Restaurant,"Herlev Hovedgade 104, København","(55.72278699999999, 12.4423096)",4.1,50.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ6zn-nWhTUkYRJ51l6LGK80U,OPERATIONAL,"Herlev Hovedgade 104, 2730 København, Denmark",34 12 34 56,,https://thevillagerestaurant.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_term=discount&utm_content=10,"('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000')",,,1,København
47,47,ChIJPyhb5UFRUkYRwZ7MAC3cuXc,Kazmi,"Herlev Hovedgade 104, Herlev","(55.72278699999999, 12.4423096)",4.2,26.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJPyhb5UFRUkYRwZ7MAC3cuXc,OPERATIONAL,"Herlev Hovedgade 104, 2730 Herlev, Denmark",51 49 66 66,,https://kazmi.dk/,"('1200', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1200', '2200')",[1],38333461,1,Herlev
48,48,ChIJCzvwXktQUkYRUvdBfF4dODo,Byens Kebab Grill,"11, Herlev Torv 9, Herlev","(55.7239153, 12.4387135)",3.0,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJCzvwXktQUkYRUvdBfF4dODo,OPERATIONAL,"11, Herlev Torv 9, 2730 Herlev, Denmark",,,,,,,1,Herlev
49,49,ChIJw0fAjExQUkYR3b0YH9WZVCU,Harlekin,Denmark,"(55.7227329, 12.4364521)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJw0fAjExQUkYR3b0YH9WZVCU,OPERATIONAL,"2730 Herlev, Denmark",,,,,,,1,Denmark
50,50,ChIJ4zjSa0tQUkYRm8DotV1RVZ8,Pappas Pizza Herlev,"Herlev Bygade 27, Herlev","(55.72496650000001, 12.4388472)",3.9,146.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ4zjSa0tQUkYRm8DotV1RVZ8,OPERATIONAL,"Herlev Bygade 27, 2730 Herlev, Denmark",44 53 53 90,2.0,https://www.eatonline.dk/restaurant/91/pappas-pizza-grill,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",,,1,Herlev
51,51,ChIJx6FEFktQUkYRFktDhjs9f9w,Pippali,"Copenhagen DK, Herlev Bygade 34, Herlev","(55.725722, 12.4391719)",4.2,398.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJx6FEFktQUkYRFktDhjs9f9w,OPERATIONAL,"Copenhagen DK, Herlev Bygade 34, 2730 Herlev, Denmark",44 92 99 99,2.0,http://pippali.dk/,"('1200', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",,,1,Herlev
52,52,ChIJFdR7yrRRUkYR21C3pdUBT6o,Torino Pizza & Grill,"Herlev Bygade 2, Herlev","(55.7254285, 12.4412725)",4.0,121.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJFdR7yrRRUkYR21C3pdUBT6o,OPERATIONAL,"Herlev Bygade 2, 2730 Herlev, Denmark",44 91 74 74,2.0,https://torinoherlev.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1200', '2130')",,,1,Herlev
53,53,ChIJ4zjSa0tQUkYRrjSGs2EVn9Y,Suki Sushi,"2730, Herlev Bygade 27, Herlev","(55.724988, 12.438725)",4.2,197.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ4zjSa0tQUkYRrjSGs2EVn9Y,OPERATIONAL,"2730, Herlev Bygade 27, 2730 Herlev, Denmark",44 84 84 66,2.0,http://www.sukisushi.dk/,"('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130')",,,1,Herlev
