,Unnamed: 0,Unnamed: 0.1,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,smileys,cvr_number,checked_findsmiley,city_name
1992,1992,ChIJwdrCyAVTUkYRLM0WFavcxfY,Kalaset,"Vendersgade 16, København K","(55.6847036, 12.5667449)",4.2,1183.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJwdrCyAVTUkYRLM0WFavcxfY,OPERATIONAL,"Vendersgade 16, 1363 København, Denmark",,2.0,http://kalaset.dk/,"('1000', '1700'); ('1000', '0000'); ('1000', '0000'); ('1000', '0000'); ('1000', '0000'); ('1000', '0000'); ('1000', '0000')","[1, 4, 1, 1]",31167892,1,København K
1993,1993,ChIJTVkWzwVTUkYR6lYftsfrNZ4,La Rocca,"Vendersgade 23, København K","(55.6846973, 12.5661557)",4.5,624.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJTVkWzwVTUkYR6lYftsfrNZ4,OPERATIONAL,"Vendersgade 23, 1363 København, Denmark",33 12 66 55,2.0,https://larocca.dk/,"('1200', '0000'); ('1200', '0000'); ('1200', '0000'); ('1200', '0000'); ('1200', '0000'); ('1200', '0000'); ('1200', '0000')",['Elite'],25136721,1,København K
1994,1994,ChIJe6qvxQVTUkYROA8tjwUsuBY,Pintxos,"Nansensgade 63, København","(55.6844695, 12.566041)",4.3,511.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJe6qvxQVTUkYROA8tjwUsuBY,OPERATIONAL,"Nansensgade 63, 1366 København, Denmark",33 93 66 55,2.0,https://pintxos.dk/,"('1700', '2200'); ('1700', '2300'); ('1700', '2300'); ('1700', '2300'); ('1700', '2300'); ('1700', '0000'); ('1700', '0000')",,,1,København
1995,1995,ChIJafkHMwRTUkYRJp16Ii49UuQ,Halifax,"Frederiksborggade 35, København K","(55.685498, 12.56654)",4.3,893.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJafkHMwRTUkYRJp16Ii49UuQ,OPERATIONAL,"Frederiksborggade 35, 1360 København K, Denmark",82 30 43 00,2.0,http://www.halifax.dk/,"('1130', '2100'); ('1130', '2130'); ('1130', '2130'); ('1130', '2130'); ('1130', '2130'); ('1130', '2200'); ('1130', '2200')",,,1,København K
1996,1996,ChIJTSCDswVTUkYRxPoeapO61Lw,Café Klimt,"Frederiksborggade 29, København K","(55.6850621, 12.5676694)",4.1,223.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJTSCDswVTUkYRxPoeapO61Lw,OPERATIONAL,"Frederiksborggade 29, 1360 København, Denmark",33 11 76 70,2.0,http://www.cafeklimt.dk/,"('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800'); ('1000', '1800')",,,1,København K
1997,1997,ChIJXYcUyAVTUkYRGeQdoeYnzV8,Da Aldo Pizzeria,"Vendersgade 16, København K","(55.6845893, 12.5668938)",4.8,465.0,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",ChIJXYcUyAVTUkYRGeQdoeYnzV8,OPERATIONAL,"Vendersgade 16, 1363 København K, Denmark",33 91 40 60,1.0,http://www.daaldo.dk/,"('1200', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2200'); ('1100', '2230'); ('1200', '2200')","[1, 1, 2, 1]",36310804,1,København K
1998,1998,ChIJfZ7yKQRTUkYRGoKEQq2QKdc,Zaggis Cafe,"Frederiksborggade 43, København K","(55.68583839999999, 12.5656289)",4.6,367.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",ChIJfZ7yKQRTUkYRGoKEQq2QKdc,OPERATIONAL,"Frederiksborggade 43, 1371 København, Denmark",,1.0,http://noneatm.com/,"('1000', '1700'); ('0800', '1700'); ('0800', '1700'); ('0800', '1700'); ('0800', '1700'); ('0800', '1700'); ('1000', '1700')",,,1,København K
1999,1999,ChIJ5-0XtQVTUkYRVDtQS5D3_oM,Wine & Food,"Frederiksborggade 31, København","(55.6851194, 12.5674212)",3.0,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ5-0XtQVTUkYRVDtQS5D3_oM,OPERATIONAL,"Frederiksborggade 31, 1360 København, Denmark",71 20 08 00,,,,,,1,København
2000,2000,ChIJ8fKK0QJTUkYRFVC97_9Bv7k,Sticks'n'Sushi,"Nansensgade 59, København","(55.68436699999999, 12.565885)",4.4,391.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ8fKK0QJTUkYRFVC97_9Bv7k,OPERATIONAL,"Nansensgade 59, 1366 København, Denmark",33 11 14 07,3.0,https://sticksnsushi.com/da,"('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2200'); ('1130', '2200')",,,1,København
2001,2001,ChIJa0yP5wVTUkYRIiYkrTtRxoE,Sticks'n'Sushi Sushisuiten,"Nansensgade 47, København K","(55.6839679, 12.565385)",4.0,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJa0yP5wVTUkYRIiYkrTtRxoE,OPERATIONAL,"Nansensgade 47, 1366 København, Denmark",33 11 70 30,,,,,,1,København K
