,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJ6e57ZDRTUkYRKh3M87_TZhU,OPERATIONAL,"Sankt Annæ Pl. 16, 1250 København, Denmark",22 21 02 09,,http://www.plin.dk/,,ChIJ6e57ZDRTUkYRKh3M87_TZhU
ChIJl0PScCdTUkYRw4GM4X796TU,CLOSED_TEMPORARILY,"Toldbodgade 55, 1253 København, Denmark",53 82 77 99,,https://akami-sushi-restaurant.business.site/?utm_source=gmb&utm_medium=referral,,ChIJl0PScCdTUkYRw4GM4X796TU
ChIJTfqD1yNTUkYRWJGNosMNIeM,OPERATIONAL,"Toldbodgade 55, 1253 København, Denmark",53 82 77 99,,,"('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100')",ChIJTfqD1yNTUkYRWJGNosMNIeM
ChIJTfqD1yNTUkYRQP3VwAqB0H8,OPERATIONAL,"Toldbodgade 55, 1253 København, Denmark",72 30 13 31,,,,ChIJTfqD1yNTUkYRQP3VwAqB0H8
ChIJF3fA1yNTUkYRVTvpVFck6As,OPERATIONAL,"Toldbodgade 55B, sal 1th, 1253 København, Denmark",70 23 13 37,,,,ChIJF3fA1yNTUkYRVTvpVFck6As
ChIJV6iiKSJTUkYR3TxBxkRV8b8,OPERATIONAL,"Amaliegade 21, 1256 København, Denmark",45 86 00 33,,,,ChIJV6iiKSJTUkYR3TxBxkRV8b8
ChIJ930z5iBTUkYRdgKM4AvI9KE,OPERATIONAL,"Esplanaden 21, 1263 København, Denmark",33 15 60 29,3.0,http://www.lumskebugten.dk/,,ChIJ930z5iBTUkYRdgKM4AvI9KE
ChIJ930z5iBTUkYRjQOh7c8JSc8,OPERATIONAL,"Esplanaden 21, 1263 København, Denmark",33 15 60 29,,http://www.saisonfood.dk/index.php?r=site/page&id=22&overskrift=ERWIN+LAUTERBACH,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJ930z5iBTUkYRjQOh7c8JSc8
ChIJG0wuOUlTUkYRNkeP030CboA,OPERATIONAL,"Amaliegade 49, 1256 København, Denmark",30 63 83 22,,https://www.thepescatarian.dk/,,ChIJG0wuOUlTUkYRNkeP030CboA
ChIJi53zoiBTUkYRWRzV-Ll4NBM,OPERATIONAL,"Nordre Toldbod 18-24, 1259 København, Denmark",33 93 07 60,2.0,https://toldboden.com/,"('1130', '2030'); ('1130', '2030'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200')",ChIJi53zoiBTUkYRWRzV-Ll4NBM
