,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJj6fF7HtWUkYRU7vKWrLPJqQ,OPERATIONAL,"Brøndby Havnevej 20, 2650 Hvidovre, Denmark",41 10 37 40,2.0,https://www.albatrossen.dk/,"('1130', '1630'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100'); ('1130', '2100')",ChIJj6fF7HtWUkYRU7vKWrLPJqQ
ChIJu3EP8tRXUkYRic6gYoR43Ds,OPERATIONAL,"Brøndby Havnevej 24, 2650 Hvidovre, Denmark",20 20 22 87,,http://havkatten.dk/,"('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600'); ('1000', '1600')",ChIJu3EP8tRXUkYRic6gYoR43Ds
ChIJiT4i0w5XUkYRCmvyVS5JE9w,OPERATIONAL,"Brøndby Havnevej 13, 2650 Hvidovre, Denmark",,,,"('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300'); ('0600', '2300')",ChIJiT4i0w5XUkYRCmvyVS5JE9w
ChIJdapK5clWUkYRmKLS85w1D0s,OPERATIONAL,"Vestre Gade 32, 2605 Brøndby, Denmark",61 63 24 94,2.0,http://engtoftegard.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",ChIJdapK5clWUkYRmKLS85w1D0s
ChIJd3SvSuNXUkYRExpg8o72LUQ,OPERATIONAL,"Vestre Gade 23, 2605 Brøndby, Denmark",,,,,ChIJd3SvSuNXUkYRExpg8o72LUQ
ChIJnzBp7zRRUkYRxcJ1K0LxKQc,OPERATIONAL,"Brøndbyøster, Brøndbyøster Torv 37, 2605 Brøndby, Denmark",36 83 66 82,2.0,http://sixpence-restaurant.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJnzBp7zRRUkYRxcJ1K0LxKQc
ChIJeQEKjzRRUkYRR8riW9eVcDs,OPERATIONAL,"Brøndbyøster Torv 18, 2605 Brøndby, Denmark",36 48 02 21,,https://torvets-cafe.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJeQEKjzRRUkYRR8riW9eVcDs
ChIJw0jc8TRRUkYRrv6MklmF90k,OPERATIONAL,"Brøndbyøster Torv 29, 2605 Brøndby, Denmark",35 11 68 88,2.0,http://www.kaisushi.dk/,"('1500', '2200'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2130'); ('1200', '2200'); ('1200', '2200')",ChIJw0jc8TRRUkYRrv6MklmF90k
ChIJqaoK8DRRUkYR74FcYuCrFIo,CLOSED_TEMPORARILY,"Brøndbyøster Torv 21, 2605 Brøndby, Denmark",,,,,ChIJqaoK8DRRUkYR74FcYuCrFIo
ChIJ55nnSTRRUkYRmhqoshskaq4,OPERATIONAL,"Nygårds Pl. 2M, 2605 Brøndby, Denmark",36 48 00 59,2.0,https://www.la-serra.com/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJ55nnSTRRUkYRmhqoshskaq4
ChIJO3kcjDNRUkYRsjy6NNavUw0,OPERATIONAL,"Nygårds Pl. 3A, 2605 Brøndby, Denmark",88 77 20 70,2.0,http://www.restaurantogcafenielsen.dk/,,ChIJO3kcjDNRUkYRsjy6NNavUw0
ChIJoyVNQjRRUkYRBFkRmwybNxc,OPERATIONAL,"Nygårds Pl. 2, 2605 Brøndby, Denmark",36 47 49 35,,https://www.hungry.dk/broendby/broendby-kebab-grill/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000')",ChIJoyVNQjRRUkYRBFkRmwybNxc
ChIJZzbLq2xRUkYRgomONEYr1AY,OPERATIONAL,"Dsb Stations perron, Gillesager 1, 2605 Brøndby, Denmark",91 72 39 39,,http://quickstoptogo.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",ChIJZzbLq2xRUkYRgomONEYr1AY
ChIJw3N3YjRRUkYRHvmfCic5_ys,OPERATIONAL,"Gillesager 1 På Brøndby Øster stations, perron Quick Stop to go (Dsb, 2605 Brøndby, Denmark",91 72 39 39,,https://quickstop.meal4u.dk/,"('1000', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '0000'); ('1000', '0000')",ChIJw3N3YjRRUkYRHvmfCic5_ys
ChIJCdTSmzNRUkYRRJ5Yiwnder0,OPERATIONAL,"Turpinsvej 1, 2605 Brøndby, Denmark",41 41 57 86,,,,ChIJCdTSmzNRUkYRRJ5Yiwnder0
ChIJYWQGlTNRUkYRdia53hIhIok,OPERATIONAL,"Turpinssvinget 7, 2605 Brøndby, Denmark",36 75 77 87,2.0,https://bellamammapizza.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1200', '2200')",ChIJYWQGlTNRUkYRdia53hIhIok
ChIJDRvoEjFRUkYRuqkue7JPoi0,OPERATIONAL,"Brøndbyøstervej 1, 2605 Brøndby, Denmark",27 80 09 12,2.0,https://www.mcdonalds.com/dk/da-dk.html/?utm_source=google_location&utm_medium=organic&utm_campaign=85,"('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100')",ChIJDRvoEjFRUkYRuqkue7JPoi0
ChIJVVUlvzBRUkYRNDS1wESaS_Y,OPERATIONAL,"H. J. Holst Vej 14, 2610 Rødovre, Denmark",50 36 77 69,,,,ChIJVVUlvzBRUkYRNDS1wESaS_Y
ChIJxdOhSzdRUkYRxl5PYQtT248,OPERATIONAL,"H. J. Holst Vej 6, 2610 Rødovre, Denmark",,,,,ChIJxdOhSzdRUkYRxl5PYQtT248
ChIJ24vPT2JRUkYRQaSm4NcEip4,OPERATIONAL,"H. J. Holst Vej 6, 2610 Rødovre, Denmark",50 20 00 45,,,,ChIJ24vPT2JRUkYRQaSm4NcEip4
ChIJ9xoBHEdRUkYRFRNBdMb1fk0,OPERATIONAL,"2. TV, Fjeldhammervej 17 b, 2610 Rødovre, Denmark",25 94 82 28,,https://kruathaicatering.dk/,"('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000'); ('0900', '2000')",ChIJ9xoBHEdRUkYRFRNBdMb1fk0
ChIJZ4WA0FdRUkYRX4saOTKGy50,OPERATIONAL,"Fjeldhammervej 15, 2610 Rødovre, Denmark",61 40 42 42,,http://tapasamor.dk/,,ChIJZ4WA0FdRUkYRX4saOTKGy50
ChIJMSS3PzdRUkYRMflPuJwP5qQ,CLOSED_TEMPORARILY,"Prøvensvej, 2605 Brøndby, Denmark",21 59 03 60,,https://brondby.minkantine.dk/kontakt/,,ChIJMSS3PzdRUkYRMflPuJwP5qQ
ChIJ1TfEKzpRUkYRprpBg_GFdD0,OPERATIONAL,"Fjeldhammervej 6, 2610 Rødovre, Denmark",38 87 35 93,,http://www.restaurant-lazio.dk/,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJ1TfEKzpRUkYRprpBg_GFdD0
ChIJz9YtkjlRUkYRfq50ay8nmGU,OPERATIONAL,"Nyholms Alle 27, 2610 Rødovre, Denmark",39 29 01 02,,,,ChIJz9YtkjlRUkYRfq50ay8nmGU
ChIJ3Rw3sjxRUkYRuwlajfX4lvM,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",36 41 07 58,2.0,http://www.espehus.dk/,"('1200', '2100'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '1600'); ('1200', '2100'); ('1200', '2100')",ChIJ3Rw3sjxRUkYRuwlajfX4lvM
ChIJfd2JLH9RUkYRt1JrOmv35PI,OPERATIONAL,"Korsdalsvej 77, 2610 Rødovre, Denmark",40 55 55 70,,https://espehus.dk/,,ChIJfd2JLH9RUkYRt1JrOmv35PI
ChIJnWTPUQBRUkYRfXVowA5KYBc,OPERATIONAL,"Islevgård Alle 5, 2610 Rødovre, Denmark",40 55 76 49,,,,ChIJnWTPUQBRUkYRfXVowA5KYBc
ChIJ311mJlNQUkYRRuaFvMRctKA,OPERATIONAL,"Lyskær 3, 2730 Herlev, Denmark",,,,,ChIJ311mJlNQUkYRRuaFvMRctKA
ChIJl11UMa1RUkYRnacSMrLddVk,OPERATIONAL,"Mileparken 39, 2730 Herlev, Denmark",88 80 80 71,2.0,https://www.mcdonalds.com/dk/da-dk.html/?utm_source=google_location&utm_medium=organic&utm_campaign=14,"('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0100'); ('0700', '0200'); ('0700', '0200')",ChIJl11UMa1RUkYRnacSMrLddVk
ChIJVVWFNq1RUkYRB5Nw0X55A7w,OPERATIONAL,"Mileparken 39, 2730 Herlev, Denmark",,,,,ChIJVVWFNq1RUkYRB5Nw0X55A7w
ChIJbSrT0VJQUkYRnbm7q7mqn_8,OPERATIONAL,"Lyskær 3, 2730 Herlev, Denmark",,,,,ChIJbSrT0VJQUkYRnbm7q7mqn_8
ChIJdVohS9xRUkYRhc--ipN7NYA,OPERATIONAL,"Hørkær 12A, 2730 Herlev, Denmark",,,,,ChIJdVohS9xRUkYRhc--ipN7NYA
ChIJQ6Uw9bJRUkYRXrQjS-kCpGs,OPERATIONAL,"Stationsalleen 17, 2730 Herlev, Denmark",44 92 68 44,,https://www.hungry.dk/herlev/stations-kebab/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1200', '2100')",ChIJQ6Uw9bJRUkYRXrQjS-kCpGs
ChIJ__liuUxQUkYRBCCvX20YsHw,OPERATIONAL,"Herlev Hovedgade 129, 2730 Herlev, Denmark",44 92 04 66,1.0,http://farfarspizza.dk/,"('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100')",ChIJ__liuUxQUkYRBCCvX20YsHw
ChIJTbJtqlxRUkYRpPIXLpSpUjA,OPERATIONAL,"Herlev Hovedgade 125, 2730 Herlev, Denmark",,,,,ChIJTbJtqlxRUkYRpPIXLpSpUjA
ChIJB3LlXktQUkYRgHD7JEtkinM,OPERATIONAL,"Herlev Torv 9, 2730 Herlev, Denmark",44 94 00 03,2.0,https://www.herlev-kro.dk/,,ChIJB3LlXktQUkYRgHD7JEtkinM
ChIJmwYVabNRUkYRvKOmLwk_xjU,OPERATIONAL,"Herlev Hovedgade 102, 2730 Herlev, Denmark",44 84 88 68,2.0,https://sushilp.dk/,"('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030'); ('1530', '2030')",ChIJmwYVabNRUkYRvKOmLwk_xjU
ChIJYaZuarNRUkYRzUCUJCnYvJ4,OPERATIONAL,"Herlev Hovedgade 113, 2730 Herlev, Denmark",44 91 03 92,2.0,https://herlevkebabogpizza.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJYaZuarNRUkYRzUCUJCnYvJ4
ChIJqSSOaLNRUkYRystuM3uQZO8,CLOSED_TEMPORARILY,"Herlev Hovedgade 102, 2730 Herlev, Denmark",,,,,ChIJqSSOaLNRUkYRystuM3uQZO8
ChIJK55_bLNRUkYRSeBVhSrQcM8,OPERATIONAL,"Herlev Hovedgade 109, 2730 Herlev, Denmark",44 94 29 89,2.0,https://www.hungry.dk/herlev/french-chicken/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1200', '2100')",ChIJK55_bLNRUkYRSeBVhSrQcM8
ChIJWdhlc7NRUkYRC_glUia6iIU,OPERATIONAL,"Herlev Hovedgade 105, St Tv, 2730 Herlev, Denmark",53 54 57 70,1.0,https://sandwichandbagel.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1100', '1900'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1000', '2000'); ('1100', '1900')",ChIJWdhlc7NRUkYRC_glUia6iIU
ChIJ5_J4s0xQUkYRmGAghPFR8U8,OPERATIONAL,"Herlev Hovedgade 123, 2730 Herlev, Denmark",44 84 05 08,2.0,http://www.caferisico.dk/,,ChIJ5_J4s0xQUkYRmGAghPFR8U8
ChIJ-09SarNRUkYRZWk7XasRQfc,OPERATIONAL,"Herlev Hovedgade 111, 2730 Herlev, Denmark",32 51 02 00,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJ-09SarNRUkYRZWk7XasRQfc
ChIJ5XFKtkxQUkYR97UAPJ7ahAY,OPERATIONAL,"Herlev Hovedgade, 2730 Herlev, Denmark",44 92 04 66,,https://www.farfarspizza.dk/,,ChIJ5XFKtkxQUkYR97UAPJ7ahAY
ChIJt35bqkxQUkYREFc_60OHAoM,OPERATIONAL,"Herlev Torv 10, 2730 Herlev, Denmark",44 91 34 34,,http://herlevfisk.dk/,,ChIJt35bqkxQUkYREFc_60OHAoM
ChIJ6zn-nWhTUkYRJ51l6LGK80U,OPERATIONAL,"Herlev Hovedgade 104, 2730 København, Denmark",34 12 34 56,,https://thevillagerestaurant.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_term=discount&utm_content=10,"('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000'); ('1130', '1000')",ChIJ6zn-nWhTUkYRJ51l6LGK80U
ChIJPyhb5UFRUkYRwZ7MAC3cuXc,OPERATIONAL,"Herlev Hovedgade 104, 2730 Herlev, Denmark",51 49 66 66,,https://kazmi.dk/,"('1200', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1200', '2200')",ChIJPyhb5UFRUkYRwZ7MAC3cuXc
ChIJCzvwXktQUkYRUvdBfF4dODo,OPERATIONAL,"11, Herlev Torv 9, 2730 Herlev, Denmark",,,,,ChIJCzvwXktQUkYRUvdBfF4dODo
ChIJw0fAjExQUkYR3b0YH9WZVCU,OPERATIONAL,"2730 Herlev, Denmark",,,,,ChIJw0fAjExQUkYR3b0YH9WZVCU
ChIJ4zjSa0tQUkYRm8DotV1RVZ8,OPERATIONAL,"Herlev Bygade 27, 2730 Herlev, Denmark",44 53 53 90,2.0,https://www.eatonline.dk/restaurant/91/pappas-pizza-grill,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJ4zjSa0tQUkYRm8DotV1RVZ8
ChIJx6FEFktQUkYRFktDhjs9f9w,OPERATIONAL,"Copenhagen DK, Herlev Bygade 34, 2730 Herlev, Denmark",44 92 99 99,2.0,http://pippali.dk/,"('1200', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJx6FEFktQUkYRFktDhjs9f9w
ChIJFdR7yrRRUkYR21C3pdUBT6o,OPERATIONAL,"Herlev Bygade 2, 2730 Herlev, Denmark",44 91 74 74,2.0,https://torinoherlev.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1200', '2130')",ChIJFdR7yrRRUkYR21C3pdUBT6o
ChIJ4zjSa0tQUkYRrjSGs2EVn9Y,OPERATIONAL,"2730, Herlev Bygade 27, 2730 Herlev, Denmark",44 84 84 66,2.0,http://www.sukisushi.dk/,"('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130'); ('1330', '2130')",ChIJ4zjSa0tQUkYRrjSGs2EVn9Y
ChIJvbhsa0tQUkYRdvxGgvnMg74,OPERATIONAL,"Herlev Bygade 34, 2730 Herlev, Denmark",71 99 29 38,,,,ChIJvbhsa0tQUkYRdvxGgvnMg74
ChIJLQHSWlhRUkYReIOIXT-c4TY,OPERATIONAL,"Herlev Bygade 40, 2730 Herlev, Denmark",44 50 02 08,,https://sushikatsura.dk/,"('1200', '2200'); ('1400', '2200'); ('1400', '2200'); ('1400', '2200'); ('1400', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJLQHSWlhRUkYReIOIXT-c4TY
ChIJxwnkJCpRUkYRYeBvuxPWbcU,OPERATIONAL,"Herlev Bygade 40, 2730 Herlev, Denmark",,,,,ChIJxwnkJCpRUkYRYeBvuxPWbcU
ChIJg_ZGoDRQUkYRhRSK2lVuWkU,OPERATIONAL,"Runddyssen 6, 2730 Herlev, Denmark",44 92 65 28,2.0,https://la-sosta.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1200', '2100')",ChIJg_ZGoDRQUkYRhRSK2lVuWkU
ChIJg_ZGoDRQUkYR1nJ46jOUFto,OPERATIONAL,"Runddyssen, 2730 Herlev, Denmark",44 92 65 28,,https://la-sosta.dk/Contact,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJg_ZGoDRQUkYR1nJ46jOUFto
ChIJG1yQD9pPUkYRswTVlZabUOM,OPERATIONAL,"Værebrovej 72, 2880 Bagsværd, Denmark",44 44 04 29,,https://www.vaerebropizzaria.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJG1yQD9pPUkYRswTVlZabUOM
ChIJueUcvItXUkYRuxSvMLN-qF4,OPERATIONAL,"Trædrejerporten 1 C/o Avedøre Idrætscenter / Avedøre Svømmehal, 2650 Hvidovre, Denmark",31 21 02 08,,http://www.jasminris.dk/,"('1000', '2000'); ('1400', '2100'); ('1400', '2100'); ('1400', '2100'); ('1400', '2100'); ('1400', '2100'); ('1000', '2100')",ChIJueUcvItXUkYRuxSvMLN-qF4
ChIJe8QfH69XUkYRmQufy9izqYk,OPERATIONAL,"Filmbyen 22, 2650 Hvidovre, Denmark",,,,,ChIJe8QfH69XUkYRmQufy9izqYk
ChIJPXK_9_xXUkYRtZ0Qg_sTYdQ,OPERATIONAL,"Byvej 55, 2650 Hvidovre, Denmark",,,http://premiumgourmet.dk/,,ChIJPXK_9_xXUkYRtZ0Qg_sTYdQ
ChIJnUIEgQRTUkYRtaok_1tsxX8,OPERATIONAL,"Valhøjs Alle 126, 2610 Rødovre, Denmark",22 20 06 48,,http://simplycooking.dk/,,ChIJnUIEgQRTUkYRtaok_1tsxX8
ChIJJdcAIj1RUkYRL6wM_2w8-lk,OPERATIONAL,"Borgm G Jensens Vej 17, 2610 Rødovre, Denmark",,,,"('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200'); ('0600', '2200')",ChIJJdcAIj1RUkYRL6wM_2w8-lk
ChIJgbeN9hVRUkYRkham3pQJ8Xw,OPERATIONAL,"Lucernevej 58, 2610 Rødovre, Denmark",36 70 38 88,,https://www.hungry.dk/roedovre/lucerne-pizza-indisk-specialiteter/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1200', '2200'); ('1400', '2200'); ('1400', '2200'); ('1400', '2200'); ('1400', '2200'); ('1400', '2200'); ('1200', '2200')",ChIJgbeN9hVRUkYRkham3pQJ8Xw
ChIJEQEmlAdRUkYRG4DWHTpMkPM,OPERATIONAL,"Islevbrovej 32, 2610 Rødovre, Denmark",44 24 24 15,2.0,https://www.hungry.dk/roedovre/the-pizza/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1500', '2100'); ('1530', '2100'); ('1530', '2100'); ('1530', '2100'); ('1530', '2100'); ('1530', '2100'); ('1500', '2100')",ChIJEQEmlAdRUkYRG4DWHTpMkPM
ChIJPwFM6gdRUkYRcsyiDwIuvFo,OPERATIONAL,"Islevbrovej 25, 2610 Rødovre, Denmark",44 24 03 52,2.0,https://www.hungry.dk/roedovre/indian-curry/?utm_source=google&utm_medium=gmb&utm_campaign=local,"('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100'); ('1600', '2100')",ChIJPwFM6gdRUkYRcsyiDwIuvFo
ChIJ1yNPD2tRUkYRiACcxwD_jF4,OPERATIONAL,"Islevbrovej 23, 2610 Rødovre, Denmark",44 94 61 01,,https://www.oscarscantina.dk/,"('1200', '2145'); ('1100', '2145'); ('1100', '2145'); ('1100', '2145'); ('1100', '2145'); ('1100', '2145'); ('1200', '2145')",ChIJ1yNPD2tRUkYRiACcxwD_jF4
ChIJS768UqhRUkYRPBg3BAbb4aY,OPERATIONAL,"Viemosevej 19, 2610 Rødovre, Denmark",39 40 00 30,,,,ChIJS768UqhRUkYRPBg3BAbb4aY
ChIJ1ZsWWQlRUkYRKLJZXXBoCwE,OPERATIONAL,"Runddyssen 1B, 2730 Herlev, Denmark",26 19 68 88,,,,ChIJ1ZsWWQlRUkYRKLJZXXBoCwE
ChIJUcVUvy1QUkYRZVRrf5yegvE,OPERATIONAL,"Klausdalsbrovej 307, 2730 Herlev, Denmark",,,https://haveforeningnyvang.dk/,,ChIJUcVUvy1QUkYRZVRrf5yegvE
ChIJN429J9BPUkYRvGK357HQWhA,OPERATIONAL,"Bagsværd Hovedgade 210, 2880 Bagsværd, Denmark",81 71 95 22,,,"('0600', '2000'); ('0600', '2000'); ('0600', '2000'); ('0600', '2000'); ('0600', '2000'); ('0600', '2000'); ('0600', '2000')",ChIJN429J9BPUkYRvGK357HQWhA
ChIJCXtvAIRWUkYRmiQG9opUFo8,OPERATIONAL,"Fortvænget 21, 2650 Hvidovre, Denmark",24 80 45 13,,,,ChIJCXtvAIRWUkYRmiQG9opUFo8
ChIJIXqa-TdRUkYRYoDmXWvnm10,OPERATIONAL,"Brandholms Alle 7C, 2610 Rødovre, Denmark",51 32 78 82,,,,ChIJIXqa-TdRUkYRYoDmXWvnm10
ChIJxU7lvz9RUkYRagke7I0lsss,OPERATIONAL,"Tårnvej 215, 2610 Rødovre, Denmark",36 72 81 29,2.0,https://www.ristorantenuovaitalia.dk/,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1200', '2200')",ChIJxU7lvz9RUkYRagke7I0lsss
ChIJw07lvz9RUkYRxKNhxjs3Zb0,OPERATIONAL,"Tårnvej 215, 2610 Rødovre, Denmark",,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJw07lvz9RUkYRxKNhxjs3Zb0
ChIJgyarghVRUkYRRn_gmS-abbk,OPERATIONAL,"Lucernevej 6, 2610 Rødovre, Denmark",32 13 19 32,,,,ChIJgyarghVRUkYRRn_gmS-abbk
ChIJ-QxxFxRRUkYRraYKaa0RZv4,OPERATIONAL,"Tårnvej 321, 2610 Rødovre, Denmark",91 96 00 66,2.0,https://sam2610.dk/,"('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200'); ('1500', '2200')",ChIJ-QxxFxRRUkYRraYKaa0RZv4
ChIJ4VfIMw5RUkYR1tbpbtC5grM,OPERATIONAL,"Tårnvej 475 A, 2610 Rødovre, Denmark",36 72 70 80,2.0,http://www.islevpizza.dk/,"('1200', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1200', '2200')",ChIJ4VfIMw5RUkYR1tbpbtC5grM
ChIJwZa8xbFRUkYRGLrSuGY7HAg,OPERATIONAL,"Herlev Hovedgade 17, 2730 Herlev, Denmark",44 91 45 20,2.0,https://dallevalle.dk/,"('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200')",ChIJwZa8xbFRUkYRGLrSuGY7HAg
ChIJxwHFTLBRUkYRwFIGuH5B2FY,OPERATIONAL,"Herlev Hovedgade 31, 2730 Herlev, Denmark",44 65 00 60,,https://www.leoslegeland.dk/herlev/,"('0900', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('0900', '1900')",ChIJxwHFTLBRUkYRwFIGuH5B2FY
ChIJSWZQtrFRUkYRvY6RtB1btgc,OPERATIONAL,"Herlev Hovedgade 55, 2730 Herlev, Denmark",79 30 43 43,2.0,http://g6.max.dk/store-locator/Find-max/Herlev/?utm_source=listings&utm_medium=local&utm_campaign=yext&utm_content=11342,"('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '0000'); ('1000', '0000')",ChIJSWZQtrFRUkYRvY6RtB1btgc
ChIJTTlKU7BRUkYRmARvdNgIwo4,OPERATIONAL,"Herlev Hovedgade 53, 2730 Herlev, Denmark",88 17 88 18,2.0,http://www.bones.dk/,"('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200'); ('1130', '2200')",ChIJTTlKU7BRUkYRmARvdNgIwo4
ChIJxwHFTLBRUkYRp0MhOknbhJY,OPERATIONAL,"Herlev Hovedgade 17, 2730 Herlev, Denmark",,,https://bigshopping.dk/,"('1000', '1700'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1900'); ('1000', '1700')",ChIJxwHFTLBRUkYRp0MhOknbhJY
ChIJmUXyzbFRUkYRqAM1E9rbGZ0,OPERATIONAL,"BIG Shopping, Herlev Hovedgade 17, 2730 Herlev, Denmark",44 91 05 15,1.0,https://cafe-a.dk/,"('1000', '2130'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200')",ChIJmUXyzbFRUkYRqAM1E9rbGZ0
ChIJf3yRerFRUkYRwzyjbBEjb4k,OPERATIONAL,"Herlev Hovedgade 62, 2730 Herlev, Denmark",70 10 17 77,2.0,https://www.crh-kbh.dk/,"('1630', '2200'); ('1630', '2200'); ('1630', '2200'); ('1630', '2200'); ('1630', '2200'); ('1630', '2200'); ('1630', '2200')",ChIJf3yRerFRUkYRwzyjbBEjb4k
